actual,predicted
237.5,239.13232
192.78,201.46248
277.5,283.75705
182.5,167.03578
130.0,149.77087
295.0,322.86975
190.51,188.88863
130.0,130.08226
170.0,187.94376
325.0,310.01843
230.0,231.84204
140.0,155.34378
130.0,144.74779
161.03,155.68591
175.0,195.57173
200.0,222.5984
272.16,225.0854
140.0,150.49596
312.5,273.66977
257.5,244.40675
147.42,145.4471
240.0,245.0349
197.31,182.24796
170.5,176.85994
247.5,217.44481
170.0,149.63719
230.0,274.8715
135.0,140.43712
240.0,207.27289
154.22,162.31906
183.7,197.09647
135.0,123.006676
188.24,184.25742
260.0,233.8631
185.0,172.73816
275.0,240.16878
275.0,261.62418
240.0,241.91164
240.0,240.38016
187.5,184.63507
263.08,246.33815
122.5,127.1597
176.9,191.83324
285.0,280.69406
317.5,310.2418
163.29,163.28566
300.0,261.99512
142.5,153.50777
265.35,274.12152
172.0,168.1382
115.0,124.86387
215.0,200.86168
174.63,183.7693
230.0,251.1496
305.0,271.2039
249.48,238.99411
227.5,208.18913
252.5,258.67136
367.41,329.05313
190.0,200.6652
240.0,221.80923
255.0,262.81345
122.5,119.131454
72.57,85.552345
275.0,245.50246
179.17,172.2865
110.0,115.43057
213.19,210.58624
132.5,132.75624
170.0,185.50789
270.0,263.8991
205.0,210.96611
140.0,133.6561
137.5,133.8386
197.31,203.65646
162.5,149.10963
250.0,242.29558
215.0,234.26845
204.12,192.54602
185.0,184.26802
167.8,166.45038
174.63,213.11397
152.5,153.90776
250.0,248.76445
190.51,188.28955
235.0,242.52573
188.24,187.16792
200.0,220.456
124.74,137.26083
251.74,246.39178
152.5,139.61809
204.12,198.57372
320.0,286.5782
138.35,153.13242
260.0,250.12099
172.37,193.25774
165.0,175.97418
140.61,135.03047
287.5,283.1161
165.0,152.59933
135.0,147.29196
200.0,217.34528
140.0,151.02475
157.5,162.95558
136.08,117.55281
205.0,204.5484
250.0,270.03848
130.0,135.85234
263.08,285.0551
162.5,162.36505
272.5,249.23744
170.0,163.42516
140.0,122.17207
192.78,180.22354
272.16,263.85754
240.0,249.97276
120.0,133.9775
199.58,215.28778
165.0,175.40674
195.0,217.88771
138.35,134.91707
204.12,239.09508
315.0,289.7314
265.0,250.25967
212.5,221.73122
210.0,222.66164
115.67,117.070114
240.0,233.90582
115.0,120.14554
124.74,124.078
226.8,231.51309
147.5,117.73356
294.84,318.08145
149.69,162.68361
272.5,249.90579
360.0,322.6645
188.24,205.61769
290.0,250.12755
130.0,135.07228
205.0,235.2866
227.5,243.85207
219.99,205.46161
227.5,245.1661
100.0,98.05976
200.0,195.95877
299.37,269.2285
